rank,player,nationality,metric,stat
1,Alexandre Lacazette, France,Assists,8
2,Alex Iwobi, Nigeria,Assists,6
2,Aaron Ramsey, Wales,Assists,6
4,Pierre-Emerick Aubameyang, Gabon,Assists,5
4,Héctor Bellerín, Spain,Assists,5
4,Sead Kolasinac, Bosnia And Herzegovina,Assists,5
7,Henrikh Mkhitaryan, Armenia,Assists,4
8,Nacho Monreal, Spain,Assists,3
